   "Can. dollar"    "Ger. mark"    "Fr. franc"     "UK pound"       "J. yen"
          1.3779         2.1933          6.944        .650787          164.7
          1.3665         2.2465          6.987        .659848          169.2
          1.3753         2.2739         7.1575        .664894          169.1
           1.393         2.2686          7.242        .671592          171.5
          1.3885          2.207         7.2235        .652742          166.9
          1.3915          2.229          7.042        .663834          167.6
          1.3858         2.2185         7.1025        .659805         166.75
          1.3783         2.1855          7.081        .648803          163.9
          1.3812         2.1798          6.975        .654236         159.95
          1.3758         2.1526          6.996        .662471          158.2
          1.3894         2.1263         6.9515        .670556          155.7
          1.3834         2.1197        6.86925          .6693            156
          1.3822         2.0828           6.87        .674627         155.15
          1.3881          2.069          6.755        .672495          154.5
          1.3909         2.0509         6.7265        .665292          152.9
          1.3965         2.0595          6.686        .675356          155.1
          1.3868         2.0368           6.74        .668673          154.6
          1.3868         2.0611         6.6705        .676819          155.4
          1.3908         2.0353         6.7395        .678104         156.05
          1.3876          2.043          6.673        .690655         154.15
          1.3882         2.0275          6.685        .691563          154.3
          1.3861         2.0024         6.6405        .701656          154.1
           1.389         1.9782          6.546         .69604            154
          1.3901         1.9817         6.4675        .696767          155.2
          1.3887         2.0275         6.4885        .707214          159.5
          1.3884          2.058         6.6275        .702839          162.9
          1.3856          2.026         6.7315        .700919          161.8
          1.3834         2.0075         6.6305        .706165         162.75
           1.385         1.9881          6.593        .699448          162.5
          1.3833         1.9813          6.511        .698568          162.1
          1.3806         2.0202          6.489        .701951          162.7
          1.3787         2.0167          6.623        .699692          163.9
          1.3785         1.9458          6.603        .686106            162
          1.3805         1.9408         6.4725        .678196          159.1
          1.3717         1.9283          6.348         .68055          158.3
          1.3636         1.8633         6.4245        .670511            155
          1.3568         1.8506          6.228        .658285          152.5
          1.3381         1.7754         6.1835        .647166          150.7
          1.3257         1.8123          5.925        .656814         152.45
          1.3439         1.8155         6.0515        .655738          153.8
          1.3305         1.8258          6.049        .652955          153.4
          1.3303         1.8248          6.092        .649562         153.65
          1.3325         1.8304          6.074         .63906         153.45
          1.3262          1.858          6.092        .626684         153.63
           1.313         1.8371         6.1825         .62251          151.8
           1.311         1.8243          6.117        .620232          149.2
          1.3092         1.8188         6.0675        .623947            147
          1.3074         1.8348         6.0525        .619195          145.5
          1.3245         1.8085         6.1105        .613799         140.95
          1.3304         1.8205          6.024        .613912          142.7
           1.336         1.7989          6.053        .604412          139.5
          1.3363         1.7769         6.0015        .594707          139.1
          1.3392         1.7959         5.9385        .599844          140.3
           1.346         1.7697         5.9955        .592242         139.45
          1.3465         1.8233          5.922        .619003          143.8
          1.3431         1.8048          6.071        .609125          142.5
          1.3394         1.7877          6.035        .599808          141.9
          1.3406         1.8238          5.976        .613309            145
          1.3336         1.8219          6.093        .617284         145.95
          1.3301         1.8222          6.083        .616257         146.45
          1.3243         1.8454         6.0835        .618812          150.4
          1.3234          1.849          6.148        .619771         151.31
          1.3211         1.8601         6.1565        .626684         151.55
          1.3325         1.8552         6.1915        .624883         150.25
          1.3248         1.8789         6.1725        .633313         151.65
          1.3314         1.8986           6.26        .637024         151.45
          1.3306         1.8459          6.334        .621581          145.2
          1.3221         1.8267          6.177        .619886         143.35
          1.3151          1.808            6.1        .607534            141
          1.3203         1.7928          6.051          .6027          141.4
          1.3175         1.8123         5.9995        .607903         143.65
          1.3174         1.8291         6.0445        .611509          143.8
          1.3091         1.8383          6.098         .61361         146.35
          1.3051         1.8255          6.118        .610128          146.6
          1.3058         1.8228          6.078        .607903         144.05
          1.3141         1.8041          6.033        .603974         143.95
          1.3179         1.7491          6.025        .583942          140.7
          1.3233          1.709         5.8635        .571886         137.05
          1.3174         1.6648          5.812        .559503          134.4
          1.3148         1.6791          5.714        .568085            136
            1.31         1.6724          5.751        .558753          134.6
          1.3128         1.6575         5.6615        .553097          133.7
          1.3073          1.659          5.633        .553587         132.55
          1.3083         1.6313         5.6235        .547226          127.4
          1.3066         1.6375        5.52925        .548697          126.3
           1.303         1.5969         5.5385        .538793          123.6
          1.2892          1.646         5.4135        .552486          127.9
          1.2887         1.6269          5.579        .545256          126.2
          1.2824         1.6634          5.492        .558036         128.65
          1.2787         1.6739         5.6145        .563095          127.5
          1.2749         1.6895         5.6425        .566572          127.9
          1.2694         1.6909          5.697        .568602          129.1
          1.2657         1.7114         5.7135         .57323          130.4
          1.2644         1.6931         5.7825        .566091         128.65
          1.2556         1.6886          5.728        .563857         128.45
          1.2532         1.6692          5.719        .542594          128.1
          1.2514         1.6701          5.655        .540979         127.45
          1.2434         1.6945          5.681        .545405         127.05
          1.2362         1.6689         5.7555        .536971         125.65
          1.2406         1.6678         5.6565        .531858            125
          1.2383         1.6929         5.6605        .542241          126.9
          1.2283         1.6626          5.742        .527732            124
          1.2283         1.6789         5.6465        .534245            125
          1.2354         1.6809          5.698        .536481         124.95
          1.2315         1.6773          5.715        .530363          124.2
          1.2408         1.7046         5.6935         .53812          125.6
          1.2431         1.7023          5.771        .536107          124.3
          1.2319          1.721          5.748        .546956         125.25
          1.2227          1.715         5.8165        .548908          125.3
          1.2156         1.7489          5.795         .55966          126.3
          1.2104         1.7665          5.899        .563762         126.95
          1.2171         1.8248         5.9695         .58548          133.1
           1.207          1.823         6.1475        .583328          133.7
          1.2086         1.8402         6.1345        .589971          132.5
          1.1955         1.8498          6.205        .584864            133
          1.2071         1.8693         6.2475        .586166          132.5
          1.2024         1.8773          6.307        .586339          132.9
          1.2264         1.9205         6.3255        .592593         135.05
          1.2322         1.8984          6.487         .58744         133.25
          1.2317          1.896          6.428        .594707          134.4
          1.2398         1.8748          6.435        .594707            135
          1.2389         1.8417          6.365        .586236         134.65
          1.2225         1.8543          6.275        .591261          133.5
          1.2182         1.8747          6.324        .596766          134.1
          1.2205         1.8793         6.3705        .593472          134.4
          1.2073         1.8653         6.3985        .590772         133.43
          1.2101         1.8432          6.354        .578872         131.15
          1.1994         1.8084         6.2725         .57143         127.35
          1.1987         1.7911         6.1745        .570613          126.7
          1.2272         1.7814          6.091         .56392          124.6
          1.2323         1.7727          6.078        .560915          125.7
           1.231          1.719         6.0555        .553281          123.5
          1.1998         1.7225          5.963        .546657         121.15
          1.1886         1.7354          5.886        .541389         121.75
          1.2003         1.7483          5.936        .540628          122.5
          1.2001         1.7472         5.9645        .549662         123.35
          1.2002         1.7732          5.941        .554232          124.4
          1.1948         1.7893          6.055        .559034         125.15
          1.1918         1.7783          6.117        .550813          124.1
          1.2007         1.8284          6.085        .563539         126.75
          1.1937         1.8595          6.232        .567054          127.9
          1.1852         1.8419         6.3455        .564717          127.6
          1.1896         1.8697          6.275        .571527          130.4
          1.1851         1.8725          6.375        .574317          129.5
          1.1803         1.8429         6.3715        .565036            126
          1.1955         1.8406         6.2765           .573          126.6
          1.1997         1.8373          6.276        .577201          127.5
          1.2016         1.8539         6.2575        .581125          128.8
          1.1948         1.8652         6.3055         .58045         129.85
          1.1897         1.8744          6.319        .581497          131.2
          1.1949          1.893          6.351        .593225          133.3
               .              .          6.392              .              .
